payment_id,loan_id,payment_date,amount_paid,principal_paid,interest_paid,late_fee,payment_method,status,remarks
1,349,2022-08-03,7263.22,3746.8,3516.42,0,Cheque,Paid,Regular EMI
2,231,2022-09-17,149822.48,76268.13,73554.35,0,UPI,Paid,Regular EMI
3,218,2024-03-20,37033.61,19800.01,17233.6,0,Cash,Paid,Regular EMI
4,2,2024-11-24,1390.47,307.81,582.66,500,NACH Auto-Debit,Paid,Late payment fee applied
5,38,2023-10-11,106764.25,54934.54,51829.71,0,UPI,Paid,Regular EMI
6,18,2021-12-15,12464.53,6662.27,5802.26,0,UPI,Late,Regular EMI
7,207,2022-10-05,231671.93,118539.39,111132.54,2000,NEFT,Bounced,Late payment fee applied
8,248,2024-10-23,80874.41,45802.1,35072.31,0,NACH Auto-Debit,Paid,Regular EMI
9,175,2022-10-24,22617.9,7029.02,13588.88,2000,NEFT,Paid,Late payment fee applied
10,241,2023-01-09,10276.27,5984.61,4291.66,0,Cash,Paid,Regular EMI
11,13,2025-03-27,437039.27,220340.06,216199.21,500,NACH Auto-Debit,Paid,Late payment fee applied
12,187,2023-10-22,12382.32,7021.02,4861.3,500,NEFT,Paid,Late payment fee applied
13,214,2023-07-15,1995.05,1192.88,802.17,0,Cash,Paid,Regular EMI
14,60,2023-06-26,82347.55,27857.07,54490.48,0,UPI,Paid,Regular EMI
15,310,2025-01-25,57664.36,33074.92,23589.44,1000,NACH Auto-Debit,Paid,Late payment fee applied
16,99,2024-02-28,373410.48,147604.52,225805.96,0,UPI,Late,Regular EMI
17,313,2024-11-05,34450.85,18325.22,14125.63,2000,Net Banking,Paid,Late payment fee applied
18,229,2024-12-14,223943.2,124815.75,97127.45,2000,NACH Auto-Debit,Paid,Late payment fee applied
19,193,2022-10-09,3788.95,1295.27,2493.68,0,Net Banking,Paid,Regular EMI
20,83,2024-11-27,96769.91,47654.74,49115.17,0,Cheque,Paid,Regular EMI
21,24,2025-02-13,20958.03,12373.83,8584.2,0,Net Banking,Paid,Regular EMI
22,314,2025-02-06,4388.16,1348.35,2039.81,1000,Cheque,Paid,Late payment fee applied
23,51,2025-01-04,17820.57,9585.39,8235.18,0,NACH Auto-Debit,Late,Regular EMI
24,115,2024-09-10,403190.32,152152.17,251038.15,0,Net Banking,Paid,Regular EMI
25,5,2025-02-23,8406.08,3153.67,4252.41,1000,NEFT,Paid,Late payment fee applied
26,276,2025-02-16,28134.71,15287.82,12346.89,500,NACH Auto-Debit,Paid,Late payment fee applied
27,203,2023-10-06,1318.28,438.48,379.8,500,NEFT,Paid,Late payment fee applied
28,107,2024-11-20,12492.77,5300.27,5192.5,2000,Cheque,Paid,Late payment fee applied
29,343,2021-12-24,60693.94,31361.21,28832.73,500,UPI,Paid,Late payment fee applied
30,345,2024-06-04,397779.97,188494.64,209285.33,0,Cash,Paid,Regular EMI
31,15,2024-11-30,30004.1,11817.41,18186.69,0,NACH Auto-Debit,Paid,Regular EMI
32,122,2025-03-21,32575.14,10686.54,20888.6,1000,Net Banking,Paid,Late payment fee applied
33,190,2022-11-14,5756.11,1821.37,3934.74,0,Net Banking,Paid,Regular EMI
34,13,2025-02-04,436539.27,192269.2,244270.07,0,NACH Auto-Debit,Paid,Regular EMI
35,93,2024-12-03,3121.07,474.31,646.76,2000,Cash,Paid,Late payment fee applied
36,234,2025-02-17,9054.97,3497.73,3557.24,2000,Cheque,Paid,Late payment fee applied
37,163,2023-08-17,28133.54,8918.03,19215.51,0,Cash,Bounced,Regular EMI
38,35,2022-08-29,76414.09,33695.12,42718.97,0,Cash,Late,Regular EMI
39,242,2025-02-27,194874.8,68465.64,126409.16,0,Cash,Paid,Regular EMI
40,189,2022-02-24,51157.74,16449.93,32707.81,2000,Net Banking,Paid,Late payment fee applied
41,145,2024-07-12,7720.91,4605.34,3115.57,0,NACH Auto-Debit,Paid,Regular EMI
42,27,2024-07-18,32358.81,11786.91,20071.9,500,NEFT,Paid,Late payment fee applied
43,22,2023-03-25,456025.07,257541.5,198483.57,0,NEFT,Paid,Regular EMI
44,173,2024-09-17,5345.51,3170.21,2175.3,0,UPI,Paid,Regular EMI
45,273,2024-10-02,129926.44,41273.25,88653.19,0,Cash,Paid,Regular EMI
46,188,2022-03-07,6403.95,3004.46,3399.49,0,NEFT,Paid,Regular EMI
47,115,2024-05-10,403190.32,234039.6,169150.72,0,NEFT,Paid,Regular EMI
48,44,2023-12-27,4324.61,2344.92,1979.69,0,UPI,Paid,Regular EMI
49,55,2024-10-17,69092.49,29004.29,40088.2,0,UPI,Paid,Regular EMI
50,119,2024-10-24,3034.34,1117.34,1917.0,0,NACH Auto-Debit,Paid,Regular EMI
51,225,2023-08-25,8935.46,3821.88,5113.58,0,Net Banking,Paid,Regular EMI
52,215,2024-12-09,8725.14,4898.52,3826.62,0,UPI,Paid,Regular EMI
53,227,2024-08-01,12427.53,7146.37,5281.16,0,Cash,Paid,Regular EMI
54,84,2024-07-26,1373.26,526.71,846.55,0,Cheque,Paid,Regular EMI
55,66,2024-01-24,192228.87,77965.88,114262.99,0,Cheque,Paid,Regular EMI
56,136,2020-09-08,21825.09,11181.2,10643.89,0,NACH Auto-Debit,Late,Regular EMI
57,57,2024-07-03,15590.87,5295.61,10295.26,0,NEFT,Paid,Regular EMI
58,334,2025-02-03,8321.16,3089.08,5232.08,0,Cheque,Paid,Regular EMI
59,22,2023-12-27,456525.07,162826.26,293198.81,500,Net Banking,Paid,Late payment fee applied
60,51,2024-10-19,18820.57,9610.52,8210.05,1000,Cash,Paid,Late payment fee applied
61,238,2023-02-11,9678.79,3870.29,5808.5,0,Net Banking,Paid,Regular EMI
62,5,2025-03-01,7906.08,3990.52,3415.56,500,Cheque,Paid,Late payment fee applied
63,170,2023-05-10,25565.39,8831.65,14733.74,2000,Cheque,Paid,Late payment fee applied
64,142,2021-05-25,109093.18,36860.89,71232.29,1000,UPI,Paid,Late payment fee applied
65,37,2024-12-25,1849.81,570.79,1279.02,0,NACH Auto-Debit,Paid,Regular EMI
66,344,2022-10-27,19537.74,7619.17,11918.57,0,Cash,Paid,Regular EMI
67,44,2024-09-06,4324.61,1727.43,2597.18,0,Net Banking,Paid,Regular EMI
68,266,2023-08-28,150382.49,49745.41,100637.08,0,Net Banking,Paid,Regular EMI
69,89,2024-07-20,9699.13,3985.74,5713.39,0,Cheque,Late,Regular EMI
70,40,2023-11-08,147749.37,52448.67,95300.7,0,UPI,Paid,Regular EMI
71,44,2024-02-08,5324.61,1678.29,2646.32,1000,NEFT,Paid,Late payment fee applied
72,271,2023-09-04,55152.94,30386.8,24766.14,0,UPI,Paid,Regular EMI
73,181,2021-05-22,4131.15,1884.76,2246.39,0,NEFT,Paid,Regular EMI
74,69,2024-11-16,6900.07,2968.47,3931.6,0,NEFT,Late,Regular EMI
75,7,2025-01-31,8471.98,4748.23,3723.75,0,Cash,Paid,Regular EMI
76,326,2023-07-20,25887.81,12431.72,11456.09,2000,Cheque,Paid,Late payment fee applied
77,83,2021-11-05,96769.91,56635.79,40134.12,0,UPI,Paid,Regular EMI
78,258,2024-11-20,895.75,338.32,557.43,0,UPI,Paid,Regular EMI
79,142,2024-05-18,108093.18,64205.99,43887.19,0,NEFT,Bounced,Regular EMI
80,92,2021-04-17,12590.09,4045.02,7545.07,1000,Net Banking,Paid,Late payment fee applied
81,125,2021-05-22,3225.33,1395.53,1829.8,0,NEFT,Paid,Regular EMI
82,201,2020-11-05,34234.97,19299.64,14935.33,0,Net Banking,Paid,Regular EMI
83,171,2023-06-18,5156.85,2203.65,2953.2,0,Cash,Bounced,Regular EMI
84,180,2025-01-12,6902.48,3541.18,3361.3,0,UPI,Paid,Regular EMI
85,113,2025-01-03,339871.92,150430.25,189441.67,0,Net Banking,Paid,Regular EMI
86,229,2025-02-01,221943.2,70786.2,151157.0,0,Net Banking,Paid,Regular EMI
87,192,2024-09-01,31035.1,11979.59,19055.51,0,Cheque,Paid,Regular EMI
88,74,2024-11-13,182687.49,56840.63,125346.86,500,UPI,Paid,Late payment fee applied
89,199,2024-02-04,324268.24,149722.5,174045.74,500,Cash,Bounced,Late payment fee applied
90,54,2024-11-05,7851.44,4479.46,3371.98,0,UPI,Paid,Regular EMI
91,262,2024-09-07,230313.5,116357.8,113955.7,0,Cash,Paid,Regular EMI
92,320,2024-12-13,18691.6,9744.93,8446.67,500,Cash,Paid,Late payment fee applied
93,57,2024-03-13,15590.87,8201.18,7389.69,0,NACH Auto-Debit,Paid,Regular EMI
94,295,2021-12-30,18787.89,6453.02,12334.87,0,NACH Auto-Debit,Late,Regular EMI
95,237,2022-01-06,5707.52,2105.25,1602.27,2000,UPI,Paid,Late payment fee applied
96,50,2025-03-01,2285.61,827.56,1458.05,0,Net Banking,Paid,Regular EMI
97,334,2023-01-11,8321.16,4084.0,4237.16,0,NACH Auto-Debit,Paid,Regular EMI
98,81,2024-09-04,96503.25,38384.69,58118.56,0,NACH Auto-Debit,Paid,Regular EMI
99,1,2025-01-03,2124.12,1212.59,911.53,0,Cash,Paid,Regular EMI
100,303,2024-12-13,12987.48,5475.03,5512.45,2000,NACH Auto-Debit,Paid,Late payment fee applied
101,200,2024-03-18,36744.2,16787.15,19957.05,0,Net Banking,Paid,Regular EMI
102,309,2020-11-03,207123.25,65377.75,140745.5,1000,UPI,Paid,Late payment fee applied
103,288,2025-02-10,66212.57,21398.61,44813.96,0,Cheque,Paid,Regular EMI
104,89,2023-12-10,9699.13,5458.83,4240.3,0,Cash,Paid,Regular EMI
105,118,2025-01-16,2026.79,393.06,633.73,1000,UPI,Paid,Late payment fee applied
106,315,2025-01-25,32125.65,12437.42,19188.23,500,Cash,Paid,Late payment fee applied
107,81,2023-06-30,97003.25,39452.03,57051.22,500,Net Banking,Paid,Late payment fee applied
108,85,2022-03-23,73147.7,32110.51,41037.19,0,NEFT,Paid,Regular EMI
109,345,2024-06-30,399779.97,223013.72,174766.25,2000,Cash,Paid,Late payment fee applied
110,71,2023-05-19,29926.19,10651.42,19274.77,0,Cash,Paid,Regular EMI
111,226,2024-08-19,41611.59,14310.55,27301.04,0,NACH Auto-Debit,Paid,Regular EMI
112,271,2020-11-21,55152.94,17693.53,37459.41,0,Cash,Paid,Regular EMI
113,158,2023-08-31,89877.95,39786.86,50091.09,0,Cheque,Paid,Regular EMI
114,71,2025-02-22,30426.19,11782.43,18143.76,500,Net Banking,Paid,Late payment fee applied
115,34,2024-10-30,30255.68,13515.33,16240.35,500,Cash,Paid,Late payment fee applied
116,269,2023-03-11,248469.25,94707.73,153261.52,500,Cheque,Paid,Late payment fee applied
117,267,2025-01-10,10187.6,4398.64,5788.96,0,Cheque,Paid,Regular EMI
118,350,2024-03-17,11439.99,4517.16,5922.83,1000,Net Banking,Late,Late payment fee applied
119,309,2025-03-14,207123.25,64258.13,141865.12,1000,NACH Auto-Debit,Paid,Late payment fee applied
120,319,2025-03-15,27145.22,12840.16,14305.06,0,NEFT,Paid,Regular EMI
121,207,2021-07-09,229671.93,74979.46,154692.47,0,Cheque,Bounced,Regular EMI
122,292,2024-12-20,89359.6,52472.97,36886.63,0,UPI,Paid,Regular EMI
123,341,2025-02-08,97053.24,56346.74,40706.5,0,Cheque,Paid,Regular EMI
124,87,2024-11-23,30824.82,10378.1,19946.72,500,Cheque,Paid,Late payment fee applied
125,175,2022-07-16,22617.9,6638.39,13979.51,2000,Cheque,Paid,Late payment fee applied
126,163,2024-04-28,28133.54,13251.56,14881.98,0,Cash,Paid,Regular EMI
127,128,2022-02-16,5397.9,2453.99,2943.91,0,Cash,Paid,Regular EMI
128,291,2024-08-04,68188.93,35765.4,32423.53,0,Cheque,Paid,Regular EMI
129,333,2023-08-22,69783.7,26904.28,42879.42,0,UPI,Paid,Regular EMI
130,199,2022-11-10,323768.24,176265.86,147502.38,0,NACH Auto-Debit,Paid,Regular EMI
131,348,2022-04-18,160710.67,84787.69,75422.98,500,UPI,Paid,Late payment fee applied
132,15,2024-02-18,30004.1,15834.54,14169.56,0,Cash,Paid,Regular EMI
133,258,2024-10-09,2895.75,528.75,367.0,2000,NACH Auto-Debit,Late,Late payment fee applied
134,99,2023-05-22,375410.48,219910.48,153500.0,2000,Net Banking,Paid,Late payment fee applied
135,140,2024-08-02,98864.62,55859.11,43005.51,0,UPI,Paid,Regular EMI
136,278,2024-01-03,4606.27,2251.62,2354.65,0,NEFT,Paid,Regular EMI
137,347,2024-03-06,10988.91,4754.33,5734.58,500,Cheque,Paid,Late payment fee applied
138,258,2024-11-14,1895.75,328.88,566.87,1000,Cash,Paid,Late payment fee applied
139,345,2025-02-27,397779.97,181464.7,216315.27,0,NEFT,Paid,Regular EMI
140,304,2022-08-07,19132.47,9932.66,7199.81,2000,UPI,Paid,Late payment fee applied
141,4,2024-08-11,7243.36,4208.23,3035.13,0,UPI,Paid,Regular EMI
142,257,2021-10-07,28055.62,12914.44,15141.18,0,Cheque,Paid,Regular EMI
143,347,2024-11-25,10488.91,5315.62,5173.29,0,Net Banking,Paid,Regular EMI
144,47,2024-07-20,76451.59,25728.36,50723.23,0,Cheque,Paid,Regular EMI
145,249,2022-01-07,9315.59,3903.52,3412.07,2000,Cash,Paid,Late payment fee applied
146,217,2025-03-23,5119.17,1488.24,2630.93,1000,NACH Auto-Debit,Paid,Late payment fee applied
147,33,2025-01-22,7034.97,2975.95,2059.02,2000,NACH Auto-Debit,Paid,Late payment fee applied
148,97,2023-10-05,356411.09,155776.01,200635.08,0,Cheque,Paid,Regular EMI
149,236,2022-02-08,12124.59,6456.76,5167.83,500,Cash,Bounced,Late payment fee applied
150,306,2024-11-28,2344.13,795.01,1549.12,0,Net Banking,Paid,Regular EMI
151,269,2022-09-17,247969.25,96245.74,151723.51,0,NEFT,Paid,Regular EMI
152,66,2024-06-30,192728.87,111556.72,80672.15,500,Net Banking,Paid,Late payment fee applied
153,133,2023-07-11,15947.36,9103.13,6844.23,0,Cheque,Paid,Regular EMI
154,101,2025-02-20,20652.61,6486.26,14166.35,0,NEFT,Paid,Regular EMI
155,173,2024-12-27,5345.51,2391.58,2953.93,0,Cash,Paid,Regular EMI
156,143,2022-04-21,2580.79,1077.09,1003.7,500,Net Banking,Bounced,Late payment fee applied
157,28,2024-06-16,12224.42,4563.7,7160.72,500,Cash,Paid,Late payment fee applied
158,18,2024-08-25,12964.53,3769.4,8695.13,500,Net Banking,Paid,Late payment fee applied
159,11,2023-08-21,75869.79,43443.33,32426.46,0,Net Banking,Late,Regular EMI
160,324,2022-12-30,124537.27,68234.47,56302.8,0,NEFT,Paid,Regular EMI
161,2,2023-06-28,890.47,281.57,608.9,0,NACH Auto-Debit,Paid,Regular EMI
162,228,2024-06-08,462607.41,159261.71,303345.7,0,Cheque,Paid,Regular EMI
163,55,2024-02-03,69592.49,33801.55,35290.94,500,Cheque,Paid,Late payment fee applied
164,340,2024-09-17,5658.69,2824.14,2834.55,0,Net Banking,Paid,Regular EMI
165,107,2022-09-22,10492.77,5608.59,4884.18,0,NACH Auto-Debit,Paid,Regular EMI
166,112,2023-04-26,22899.23,10574.98,12324.25,0,NEFT,Paid,Regular EMI
167,208,2023-10-25,143918.77,53561.64,90357.13,0,UPI,Bounced,Regular EMI
168,12,2025-01-29,109602.15,38473.0,71129.15,0,NACH Auto-Debit,Paid,Regular EMI
169,283,2021-05-16,201230.2,109160.46,92069.74,0,Cheque,Paid,Regular EMI
170,39,2024-07-11,30794.89,17479.97,13314.92,0,NEFT,Paid,Regular EMI
171,285,2024-11-17,117278.71,43975.65,73303.06,0,UPI,Paid,Regular EMI
172,144,2024-03-31,202861.63,101118.21,101743.42,0,NACH Auto-Debit,Paid,Regular EMI
173,266,2024-12-06,151382.49,68433.92,81948.57,1000,NACH Auto-Debit,Paid,Late payment fee applied
174,153,2023-10-01,13955.5,5954.55,7500.95,500,UPI,Paid,Late payment fee applied
175,244,2024-06-04,14579.17,6463.32,8115.85,0,UPI,Paid,Regular EMI
176,67,2022-09-16,115197.24,41930.18,72767.06,500,Net Banking,Paid,Late payment fee applied
177,34,2024-03-28,29755.68,10598.29,19157.39,0,NACH Auto-Debit,Paid,Regular EMI
178,68,2023-11-29,80524.54,45309.18,35215.36,0,Cheque,Paid,Regular EMI
179,157,2024-09-13,195552.87,78460.06,117092.81,0,NEFT,Paid,Regular EMI
180,318,2022-11-07,152921.7,80582.97,72338.73,0,UPI,Paid,Regular EMI
181,201,2021-05-08,34234.97,14125.25,20109.72,0,UPI,Paid,Regular EMI
182,139,2024-08-09,13241.63,3982.19,9259.44,0,Cash,Paid,Regular EMI
183,262,2025-02-06,230313.5,125053.81,105259.69,0,Net Banking,Paid,Regular EMI
184,348,2022-07-10,160210.67,56210.49,104000.18,0,Cheque,Paid,Regular EMI
185,245,2021-02-07,19212.61,8968.29,9744.32,500,UPI,Paid,Late payment fee applied
186,84,2024-11-05,1373.26,697.57,675.69,0,NACH Auto-Debit,Paid,Regular EMI
187,109,2025-02-17,24176.9,12387.68,11789.22,0,NACH Auto-Debit,Paid,Regular EMI
188,209,2023-05-09,46623.32,26591.36,19531.96,500,UPI,Bounced,Late payment fee applied
189,311,2024-03-18,14674.01,7126.75,7547.26,0,Cash,Late,Regular EMI
190,262,2023-09-29,230313.5,83194.13,147119.37,0,Cash,Paid,Regular EMI
191,290,2021-04-29,4272.34,1677.38,2594.96,0,Net Banking,Paid,Regular EMI
192,35,2024-06-28,76414.09,25916.02,50498.07,0,NEFT,Paid,Regular EMI
193,3,2024-05-13,61504.23,31178.64,30325.59,0,Net Banking,Paid,Regular EMI
194,317,2025-02-07,5617.49,2074.88,1542.61,2000,Cheque,Paid,Late payment fee applied
195,331,2024-11-23,4032.67,1740.81,2291.86,0,Cash,Paid,Regular EMI
196,110,2022-07-25,8639.28,3721.18,4918.1,0,Net Banking,Paid,Regular EMI
197,171,2023-10-24,5656.85,1911.23,3245.62,500,Cash,Paid,Late payment fee applied
198,16,2025-01-05,65474.66,27417.78,36056.88,2000,Cheque,Paid,Late payment fee applied
199,60,2024-01-31,82347.55,32964.34,49383.21,0,NEFT,Paid,Regular EMI
200,210,2023-05-28,94950.18,35198.61,59751.57,0,Cheque,Paid,Regular EMI
201,327,2024-06-20,91879.08,33978.29,57900.79,0,Cash,Paid,Regular EMI
202,331,2024-12-29,4032.67,1718.48,2314.19,0,NEFT,Paid,Regular EMI
203,91,2024-05-31,10013.47,3611.47,6402.0,0,Net Banking,Paid,Regular EMI
204,239,2024-12-21,230524.45,70505.01,160019.44,0,UPI,Paid,Regular EMI
205,11,2022-12-03,76369.79,41099.19,34770.6,500,Cheque,Paid,Late payment fee applied
206,117,2024-12-27,30515.15,10164.39,20350.76,0,Cash,Paid,Regular EMI
207,247,2023-09-18,5805.63,3033.89,2771.74,0,Cheque,Paid,Regular EMI
208,54,2023-10-01,8351.44,3910.06,3941.38,500,Cash,Paid,Late payment fee applied
209,343,2025-01-12,61193.94,30707.4,29486.54,1000,Net Banking,Paid,Late payment fee applied
210,342,2023-05-18,204385.68,72604.21,130781.47,1000,Net Banking,Paid,Late payment fee applied
