transaction_id,account_id,transaction_date,transaction_type,amount,currency,merchant_category,description,channel,status,reference_number
1,28,2020-06-22,Credit,83359.27,INR,Shopping,Credit - Shopping,RTGS,Completed,TXN00000001985
2,32,2020-09-05,EMI Deduction,871143.24,INR,Loan EMI,EMI Deduction - Loan EMI,ATM,Completed,TXN00000002791
3,328,2024-10-11,Transfer,18258.69,INR,Shopping,Transfer - Shopping,Internet Banking,Completed,TXN00000003256
4,310,2024-12-07,Debit,1282544.39,INR,Insurance,Debit - Insurance,NEFT,Completed,TXN00000004224
5,154,2022-04-08,RTGS,1268192.4,INR,Travel,RTGS - Travel,Internet Banking,Completed,TXN00000005751
6,12,2021-01-13,Transfer,6776.12,INR,Transfer,Transfer - Transfer,RTGS,Completed,TXN00000006396
7,342,2020-07-23,EMI Deduction,1239811.75,INR,Entertainment,EMI Deduction - Entertainment,NEFT,Completed,TXN00000007251
8,15,2021-08-03,RTGS,1038641.68,INR,Dining,RTGS - Dining,Mobile App,Reversed,TXN00000008463
9,493,2020-10-12,RTGS,7645.42,INR,Investment,RTGS - Investment,POS Terminal,Reversed,TXN00000009637
10,200,2022-11-16,Debit,9444.46,INR,Travel,Debit - Travel,UPI,Completed,TXN00000010774
11,156,2025-03-06,NEFT,16482.57,INR,Dining,NEFT - Dining,UPI,Completed,TXN00000011431
12,302,2023-04-04,UPI,10690.17,INR,Salary Credit,UPI - Salary Credit,Branch,Completed,TXN00000012208
13,256,2025-03-28,RTGS,24550.9,INR,Utilities,RTGS - Utilities,Internet Banking,Failed,TXN00000013278
14,373,2025-01-01,NEFT,972.61,INR,ATM,NEFT - ATM,Internet Banking,Completed,TXN00000014483
15,311,2023-07-16,Credit,3583.76,INR,Investment,Credit - Investment,Branch,Completed,TXN00000015548
16,348,2021-08-08,Bill Payment,743.99,INR,Healthcare,Bill Payment - Healthcare,Mobile App,Completed,TXN00000016784
17,50,2021-02-20,Credit,149.02,INR,ATM,Credit - ATM,POS Terminal,Completed,TXN00000017847
18,491,2025-02-08,IMPS,169824.93,INR,Entertainment,IMPS - Entertainment,ATM,Completed,TXN00000018549
19,219,2023-07-04,NEFT,80.09,INR,Transfer,NEFT - Transfer,RTGS,Completed,TXN00000019715
20,277,2021-11-08,Credit,169925.16,INR,Healthcare,Credit - Healthcare,Internet Banking,Failed,TXN00000020261
21,496,2021-08-12,Debit,850061.11,INR,Insurance,Debit - Insurance,Mobile App,Completed,TXN00000021213
22,299,2022-08-22,ATM Withdrawal,39.65,INR,Loan EMI,ATM Withdrawal - Loan EMI,ATM,Completed,TXN00000022936
23,376,2021-11-06,Credit,498.13,INR,Healthcare,Credit - Healthcare,POS Terminal,Pending,TXN00000023526
24,307,2024-02-23,EMI Deduction,89.71,INR,Investment,EMI Deduction - Investment,Internet Banking,Completed,TXN00000024619
25,116,2023-08-24,UPI,482.34,INR,Education,UPI - Education,Mobile App,Completed,TXN00000025930
26,101,2022-12-30,EMI Deduction,826825.34,INR,Transfer,EMI Deduction - Transfer,NEFT,Completed,TXN00000026540
27,360,2022-05-24,IMPS,132738.69,INR,Travel,IMPS - Travel,Branch,Completed,TXN00000027159
28,122,2021-04-20,Debit,19.94,INR,Salary Credit,Debit - Salary Credit,Mobile App,Failed,TXN00000028355
29,417,2020-04-26,Debit,5334.06,INR,Groceries,Debit - Groceries,UPI,Completed,TXN00000029507
30,246,2023-09-08,Debit,120137.54,INR,Loan EMI,Debit - Loan EMI,Branch,Completed,TXN00000030409
31,483,2022-01-21,IMPS,869.41,INR,Shopping,IMPS - Shopping,Mobile App,Completed,TXN00000031520
32,362,2023-06-27,RTGS,172248.6,INR,Shopping,RTGS - Shopping,Branch,Completed,TXN00000032842
33,418,2024-06-01,Transfer,977.15,INR,Groceries,Transfer - Groceries,Mobile App,Completed,TXN00000033134
34,139,2021-07-23,EMI Deduction,1310946.51,INR,Education,EMI Deduction - Education,RTGS,Completed,TXN00000034491
35,197,2022-06-28,Credit,100439.44,INR,Healthcare,Credit - Healthcare,Mobile App,Completed,TXN00000035456
36,480,2020-02-23,EMI Deduction,23143.85,INR,ATM,EMI Deduction - ATM,Mobile App,Completed,TXN00000036949
37,319,2022-06-07,NEFT,341973.27,INR,ATM,NEFT - ATM,UPI,Failed,TXN00000037647
38,238,2022-05-18,EMI Deduction,13453.39,INR,FD Interest,EMI Deduction - FD Interest,ATM,Reversed,TXN00000038387
